Year,name,position,team,adp
2017,David Johnson,RB,ARI,1.3
2017,Le'Veon Bell,RB,PIT,2.3
2017,Antonio Brown,WR,PIT,3.7
2017,Julio Jones,WR,ATL,5.7
2017,Ezekiel Elliott,RB,DAL,6.2
2017,Odell Beckham Jr,WR,NYG,6.4
2017,Devonta Freeman,RB,ATL,7.0
2017,LeSean McCoy,RB,BUF,7.8
2017,Mike Evans,WR,TB,7.9
2017,A.J. Green,WR,CIN,10.0
2017,Melvin Gordon,RB,LAC,10.1
2017,Jordy Nelson,WR,GB,11.4
2017,Michael Thomas,WR,NO,13.3
2017,Jay Ajayi,RB,PHI,13.8
2017,DeMarco Murray,RB,TEN,15.2
2017,Jordan Howard,RB,CHI,16.8
2017,Brandin Cooks,WR,NE,17.1
2017,Rob Gronkowski,TE,NE,18.1
2017,Kareem Hunt,RB,KC,18.7
2017,Todd Gurley,RB,LAR,19.4
2017,Dez Bryant,WR,DAL,20.5
2017,Amari Cooper,WR,LV,21.3
2017,Doug Baldwin,WR,SEA,22.4
2017,Christian McCaffrey,RB,CAR,22.9
2017,Aaron Rodgers,QB,GB,23.4
2017,Keenan Allen,WR,LAC,25.8
2017,Leonard Fournette,RB,JAX,27.0
2017,Dalvin Cook,RB,MIN,27.5
2017,T.Y. Hilton,WR,IND,28.8
2017,Tom Brady,QB,NE,29.6
2017,Isaiah Crowell,RB,CLE,29.8
2017,Terrelle Pryor,WR,WAS,30.2
2017,DeAndre Hopkins,WR,HOU,31.7
2017,Ty Montgomery,RB,GB,32.6
2017,Demaryius Thomas,WR,DEN,34.5
2017,Carlos Hyde,RB,SF,35.2
2017,Lamar Miller,RB,HOU,35.2
2017,Marshawn Lynch,RB,LV,36.4
2017,Kelvin Benjamin,WR,BUF,38.6
2017,Travis Kelce,TE,KC,38.9
2017,Alshon Jeffery,WR,PHI,39.1
2017,Martavis Bryant,WR,PIT,40.9
2017,Drew Brees,QB,NO,41.7
2017,Joe Mixon,RB,CIN,42.5
2017,Michael Crabtree,WR,LV,43.7
2017,Davante Adams,WR,GB,44.9
2017,Tyreek Hill,WR,KC,45.5
2017,Golden Tate,WR,DET,47.8
2017,Larry Fitzgerald,WR,ARI,48.4
2017,Bilal Powell,RB,NYJ,48.6
2017,Doug Martin,RB,TB,49.0
2017,CJ Anderson,RB,DEN,51.4
2017,Greg Olsen,TE,CAR,51.5
2017,DeVante Parker,WR,MIA,51.9
2017,Ameer Abdullah,RB,DET,53.0
2017,Jordan Reed,TE,WAS,54.1
2017,Stefon Diggs,WR,MIN,54.8
2017,Matt Ryan,QB,ATL,56.4
2017,Allen Robinson,WR,JAX,57.0
2017,Jimmy Graham,TE,SEA,57.6
2017,Mark Ingram,RB,NO,57.6
2017,Jamison Crowder,WR,WAS,61.2
2017,Danny Woodhead,RB,BAL,61.7
2017,Jarvis Landry,WR,MIA,64.0
2017,Russell Wilson,QB,SEA,64.3
2017,Brandon Marshall,WR,NYG,65.2
2017,Mike Gillislee,RB,NE,65.3
2017,Pierre Garcon,WR,SF,66.4
2017,Rob Kelley,RB,WAS,67.0
2017,Adrian Peterson,RB,ARI,69.9
2017,Sammy Watkins,WR,LAR,70.0
2017,Tyler Eifert,TE,CIN,70.4
2017,Zach Ertz,TE,PHI,72.8
2017,Tevin Coleman,RB,ATL,73.2
2017,Emmanuel Sanders,WR,DEN,73.9
